Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,DaysNom,Days,FullGroup,Weeks
8.360113468624528,0.4061513576322046,7.555275504411762,9.160135334640577,FP,Female,-2,-2,Female_FP,-0
10.796513308842078,0.40454759773065174,10.012691576151338,11.588333528131821,FP,Male,-2,-2,Male_FP,-0
8.497468707614736,0.3978540547575705,7.717827445746197,9.282376584942275,FP,Female,10,10,Female_FP,1
10.474310251363319,0.3694135276752942,9.743875970182577,11.203818919680815,FP,Male,10,10,Male_FP,1
8.104552986610281,0.3495001160076756,7.414389518070501,8.78461098737703,FP,Female,15,15,Female_FP,2
10.19775708035787,0.3263087774007881,9.555508128910585,10.838551165568004,FP,Male,15,15,Male_FP,2
8.437498334016922,0.34153940302092245,7.772208151109764,9.11084361014624,FP,Female,22,22,Female_FP,3
10.310020709697064,0.32142741220063636,9.67822899611882,10.93676108794231,FP,Male,22,22,Male_FP,3
7.187375411564649,0.35989853424612933,6.472176125795544,7.895619046946163,FP,Female,29,29,Female_FP,4
8.197245301026,0.33834379553882665,7.538235823678373,8.863238943293716,FP,Male,29,29,Male_FP,4
7.980048457868242,0.35945444742867966,7.273977970590682,8.679184416083999,FP,Female,36,36,Female_FP,5
9.361026190118885,0.3361407092526757,8.701733446588467,10.022236963399193,FP,Male,36,36,Male_FP,5
8.663794971033976,0.38716334954171755,7.897752599409387,9.428269699280841,FP,Female,43,43,Female_FP,6
9.147587447052112,0.363285388718863,8.422099803966008,9.86359758267848,FP,Male,43,43,Male_FP,6
7.28941886970671,0.3368877880442035,6.631888573223989,7.960010188059968,FP,Female,50,50,Female_FP,7
9.335858322291712,0.31534048875798004,8.713724850267921,9.955953312214382,FP,Male,50,50,Male_FP,7
7.611078856623854,0.4287530420742748,6.767603525441414,8.450499656936426,FP,Female,64,64,Female_FP,9
9.485549741020355,0.40270513014233195,8.697264865866144,10.273768959260194,FP,Male,64,64,Male_FP,9
6.938774754001678,0.43575031694123795,6.081954324250922,7.801895968022409,FP,Female,78,78,Female_FP,11
8.81979047312914,0.4061727253725606,8.017394190810139,9.61396946008192,FP,Male,78,78,Male_FP,11
7.492588257528508,0.3769186776355135,6.76140443089098,8.23696938626903,FP,Female,92,92,Female_FP,13
8.483408017093552,0.3494139827632059,7.799365294526272,9.168943154777514,FP,Male,92,92,Male_FP,13
7.489437757629368,0.39738749733599327,6.708392207280196,8.270475729759946,FP,Female,99,99,Female_FP,14
8.886790947999986,0.3740936508270346,8.157215821149427,9.616242447517932,FP,Male,99,99,Male_FP,14
7.252008062759036,0.4435846512130758,6.384750285882056,8.12407598992049,FP,Female,130,130,Female_FP,19
8.609771969382574,0.418490647137127,7.781198738526185,9.434487884899912,FP,Male,130,130,Male_FP,19
7.0544136807226945,0.5192072126928715,6.033437705300095,8.07545650424026,FP,Female,143,143,Female_FP,20
9.069413263764659,0.4873429042611741,8.101941782414967,10.02682808207096,FP,Male,143,143,Male_FP,20
6.375593776022409,0.5502992536813818,5.286388907277087,7.4512568673974355,FP,Female,164,164,Female_FP,23
8.772016755831844,0.5158966494014168,7.759603057099442,9.780393059700549,FP,Male,164,164,Male_FP,23
5.899410639437542,0.6432350516408402,4.648732408108172,7.180896974806686,FP,Female,183,183,Female_FP,26
8.9978859389504109,0.5693871709448663,7.884200160768654,10.127014541164042,FP,Male,183,183,Male_FP,26
6.029463248040809,0.6833033997475837,4.678178278980203,7.370209846498447,FP,Female,191,191,Female_FP,27
8.749481817790349,0.5996266120995805,7.580968911415982,9.930292142768097,FP,Male,191,191,Male_FP,27
7.912324092774452,0.4027120818383946,7.1205429720741,8.701625951974442,KC,Female,-2,-2,Female_KC,-0
10.079092162477222,0.4022898484993606,9.29616052128995,10.87554462104509,KC,Male,-2,-2,Male_KC,-0
8.188683602388428,0.36938002470191306,7.468111808331467,8.921060372450986,KC,Female,10,10,Female_KC,1
9.48751905781176,0.3695407365097823,8.76694691198929,10.221906721953966,KC,Male,10,10,Male_KC,1
7.675980342795221,0.3277432770277216,7.032413857203732,8.31681760228904,KC,Female,15,15,Female_KC,2
9.48782626597327,0.3279107756927304,8.846708420747818,10.134973005127643,KC,Male,15,15,Male_KC,2
8.350687116499255,0.3220963222128573,7.726318481513674,8.984181874720402,KC,Female,22,22,Female_KC,3
9.601307148013147,0.3232398664244962,8.966501928457914,10.239343992865392,KC,Male,22,22,Male_KC,3
6.349434388765519,0.33965778786305256,5.680287493232194,7.0149196567727,KC,Female,29,29,Female_KC,4
6.749119507783455,0.3394868698973964,6.073783897708584,7.405611941134113,KC,Male,29,29,Male_KC,4
7.062512934007706,0.33518973630842763,6.405477898215372,7.722298281765125,KC,Female,36,36,Female_KC,5
8.974220926028421,0.3368342887390585,8.309452590992475,9.639104013766968,KC,Male,36,36,Male_KC,5
7.26338753722548,0.36546256038084746,6.546426255184099,7.985698727182237,KC,Female,43,43,Female_KC,6
9.276051450502717,0.364390788436521,8.554173463994344,9.996321294002033,KC,Male,43,43,Male_KC,6
6.824951774824401,0.318807142417782,6.203772489906609,7.4486279449287105,KC,Female,50,50,Female_KC,7
8.66273970098451,0.3190400859251996,8.036872095473596,9.289937972098398,KC,Male,50,50,Male_KC,7
6.589873373969151,0.40050275725669815,5.8008553146581985,7.381048041232993,KC,Female,64,64,Female_KC,9
8.813332952862876,0.40347217467007557,8.020598433477039,9.606209677341147,KC,Male,64,64,Male_KC,9
6.36448116069141,0.40763981645082603,5.561816275579517,7.162442249086166,KC,Female,78,78,Female_KC,11
7.851373586729599,0.40707645583766416,7.048944836216382,8.649940412134125,KC,Male,78,78,Male_KC,11
7.351900670917005,0.34877257232724207,6.667146948935764,8.036705656693767,KC,Female,92,92,Female_KC,13
7.889064165931799,0.35011397694374186,7.196912265963414,8.57824102730201,KC,Male,92,92,Male_KC,13
6.373682171772263,0.3708562746785082,5.649777994887609,7.101089238842338,KC,Female,99,99,Female_KC,14
7.853918460229925,0.37463015747134715,7.119635698246454,8.593572247272519,KC,Male,99,99,Male_KC,14
5.049862076718146,0.4179553986180616,4.229655292354648,5.88220737380153,KC,Female,130,130,Female_KC,19
8.015396821590617,0.41901654012607087,7.1925159589033605,8.837686371340054,KC,Male,130,130,Male_KC,19
4.415654082130425,0.4890248472986014,3.449095098892932,5.377742187628097,KC,Female,143,143,Female_KC,20
6.724798472791457,0.48637455608890146,5.7669636684057,7.687795824760075,KC,Male,143,143,Male_KC,20
3.8641860681546127,0.5141265857067834,2.8419464522771247,4.879109873305931,KC,Female,164,164,Female_KC,23
7.639510784882087,0.5419170905265467,6.57690363655313,8.696195325354482,KC,Male,164,164,Male_KC,23
3.866837553329387,0.5695767331655213,2.7446439582522064,4.990936308749577,KC,Female,183,183,Female_KC,26
8.00579075408392,0.6008389657500033,6.815424327673516,9.175279392090898,KC,Male,183,183,Male_KC,26
3.962839374482373,0.599721071212893,2.795307219549758,5.1531421599414475,KC,Female,191,191,Female_KC,27
7.837832598994087,0.6354216428735048,6.585196796765477,9.074578152271732,KC,Male,191,191,Male_KC,27
7.763554233596626,0.40557375152902264,6.960220214367261,8.56425428100604,TC,Female,-2,-2,Female_TC,-0
10.460636319808739,0.40815134967188377,9.662595041014686,11.264990110353411,TC,Male,-2,-2,Male_TC,-0
7.866258289506283,0.36934897158202323,7.142771111496282,8.59768966010985,TC,Female,10,10,Female_TC,1
10.386331253452534,0.3928976799244176,9.61510653919856,11.154537411345387,TC,Male,10,10,Male_TC,1
7.687531135341566,0.32571159316488923,7.04328220888724,8.328144282988076,TC,Female,15,15,Female_TC,2
10.63039146461865,0.34735804594904784,9.945890390580958,11.306268516853853,TC,Male,15,15,Male_TC,2
8.31476453658828,0.3201967979685652,7.692686730734239,8.947855830792122,TC,Female,22,22,Female_TC,3
9.81325356676744,0.34432268084361234,9.134969258503162,10.489296703726577,TC,Male,22,22,Male_TC,3
6.999198671242003,0.3386585363575747,6.323856336120067,7.661169955221783,TC,Female,29,29,Female_TC,4
7.5409199344521065,0.3598707777891568,6.832696108916377,8.248156725448526,TC,Male,29,29,Male_TC,4
8.062238680964306,0.3393833497828973,7.3890370986736835,8.72971262181722,TC,Female,36,36,Female_TC,5
9.470474828141603,0.35710275077149906,8.766456709178863,10.172122538265796,TC,Male,36,36,Male_TC,5
7.863464949452126,0.3643786744681346,7.143000466732216,8.58226629189584,TC,Female,43,43,Female_TC,6
8.759274148845652,0.38208974715695343,8.009132242824673,9.503177648518463,TC,Male,43,43,Male_TC,6
7.5509875708137955,0.31619802895565563,6.926219295811139,8.17511181619639,TC,Female,50,50,Female_TC,7
9.542441768707125,0.3364650433837271,8.884373606061903,10.209898024624106,TC,Male,50,50,Male_TC,7
6.037009847702902,0.3987209437851273,5.256036540387768,6.8264632735282555,TC,Female,64,64,Female_TC,9
9.645723904332764,0.42880157757925524,8.799070206477502,10.489691672760676,TC,Male,64,64,Male_TC,9
5.074982159419167,0.40977168297228894,4.265753430803073,5.882329411093751,TC,Female,78,78,Female_TC,11
7.221911360027105,0.43525242941895464,6.366069099579675,8.082775575679534,TC,Male,78,78,Male_TC,11
5.259963372918458,0.35090278113732576,4.562385667077821,5.943815814804078,TC,Female,92,92,Female_TC,13
7.587194346394404,0.3736490729622178,6.8501429949067,8.319171145008264,TC,Male,92,92,Male_TC,13
5.615326351010131,0.37346619006834425,4.881439082953275,6.35605630298138,TC,Female,99,99,Female_TC,14
7.453845364012669,0.396867841073754,6.677800704676355,8.237187570687498,TC,Male,99,99,Male_TC,14
4.486794414039182,0.41887138929206064,3.666897259328368,5.312079319607168,TC,Female,130,130,Female_TC,19
6.8558977350486,0.47991823338834877,5.902128427087492,7.79169460487289,TC,Male,130,130,Male_TC,19
4.8353358889566405,0.48767567963099884,3.873399346760321,5.793202535399802,TC,Female,143,143,Female_TC,20
7.209762767851507,0.5594172883401762,6.112093853872557,8.321966606542414,TC,Male,143,143,Male_TC,20
4.524688463191401,0.5191818037982473,3.4910237093232865,5.541715569990237,TC,Female,164,164,Female_TC,23
6.217878718905419,0.5916457112591558,5.064886755946376,7.395800821549942,TC,Male,164,164,Male_TC,23
4.178865631526249,0.5686670087005549,3.0576592322868956,5.295397177492765,TC,Female,183,183,Female_TC,26
5.90852335137335,0.6511950489769723,4.618177184594117,7.197203568918009,TC,Male,183,183,Male_TC,26
4.711222246447884,0.6044799534879188,3.5188434770919472,5.901570827416654,TC,Female,191,191,Female_TC,27
6.522520807157145,0.6938500002767866,5.16258000535764,7.907808104664906,TC,Male,191,191,Male_TC,27
